reporter_country_code,reporter_country,fbs_item_code,fbs_item,Domestic supply quantity,Export Quantity,Import Quantity,Production,Stock Variation,new_domestic,d,E_re,E_dom
1,World,2635,Tea (including mate),45794000,2578000,2225000,1337344000,1291197000,45794000,353000,0.8630721489526765,0.13692785104732352
1,World,2640,Pepper,680000,553000,489000,782000,37000,681000,64000,0.8842676311030742,0.11573236889692584
1,World,2641,Pimento,3924000,1028000,1001000,4287000,337000,3923000,27000,0.9737354085603113,0.026264591439688734
1,World,2642,Cloves,170000,86000,76000,196000,15000,171000,10000,0.8837209302325582,0.11627906976744184
1,World,2645,"Spices, Other",8976000,2776000,2624000,10453000,1325000,8976000,152000,0.9452449567723343,0.054755043
1,World,2655,Wine,26795000,11031000,11448000,27086000,708000,26795000,-417000,1,0
1,World,2656,Beer,170666000,15680000,16015000,173999000,3669000,170665000,-335000,1,0
1,World,2657,"Beverages, Fermented",22392000,1252000,1211000,23259000,826000,22392000,41000,0.9672523961661342,0.032747604
1,World,2658,"Beverages, Alcoholic",25801000,4985000,4541000,27158000,913000,25801000,444000,0.9109327983951856,0.089067202
1,World,2659,"Alcohol, Non-Food",15878000,14580000,13467000,17057000,67000,15877000,1113000,0.9236625514403293,0.076337449
1,World,2680,Infant food,85000,1373000,1499000,0,40000,86000,-126000,1,0
1,World,2731,Bovine Meat,73654000,14078000,13792000,74003000,64000,73653000,286000,0.9796846142918028,0.020315385708197242
1,World,2732,Mutton & Goat Meat,15474000,1196000,1151000,16007000,488000,15474000,45000,0.9623745819397993,0.037625418
1,World,2733,Pigmeat,104421000,19598000,18860000,108341000,3182000,104421000,738000,0.9623430962343096,0.037656904
1,World,2734,Poultry Meat,133362000,17975000,16793000,136796000,2252000,133362000,1182000,0.9342420027816412,0.065757997
1,World,2735,"Meat, Other",5041000,780000,819000,5183000,181000,5041000,-39000,1,0
1,World,2736,"Offals, Edible",21502000,5837000,5541000,21799000,0,21503000,296000,0.9492890183313346,0.050710982
1,World,2737,"Fats, Animals, Raw",29806000,6658000,6812000,30069000,417000,29806000,-154000,1,0
1,World,2740,"Butter, Ghee",12167000,1976000,1975000,12250000,82000,12167000,1000,0.9994939271255061,5.060728744938903e-4
1,World,2743,Cream,3732000,1313000,1319000,3726000,0,3732000,-6000,1,0
1,World,2744,Eggs,93493000,3402000,3403000,93552000,61000,93492000,-1000,1,0
1,World,2745,Honey,1699000,747000,740000,1775000,69000,1699000,7000,0.9906291834002677,0.009370817
1,World,2761,Freshwater Fish,65818979.99999999,8647520,8613530,65829910,-23070,65818990,33990,0.9960693933058264,0.003930607
1,World,2762,Demersal Fish,22989290,11163730,11576100,22500070,-76860,22989300,-412370,1,0
1,World,2763,Pelagic Fish,42984190,24377720,30531190,35294440,-1536280,42984190,-6153470,1,0
1,World,2764,"Marine Fish, Other",9761860,4759750,3705250,10805710,-10650,9761860,1054500,0.7784547507747256,0.2215452492252744
1,World,2765,Crustaceans,18053750,5925330,7384940,16547270,-46870,18053750,-1459610,1,0
1,World,2766,Cephalopods,3620370,2625100,2528790,3706680,-10000,3620370,96310,0.9633118738333778,0.036688126166622204
1,World,2767,"Molluscs, Other",20109210,3207030,3084620,20231270,-350,20109210,122410,0.9618307281191633,0.038169272
1,World,2768,"Meat, Aquatic Mammals",0,0,0,0,0,0,0,NA,NA
1,World,2769,"Aquatic Animals, Others",1576310,303740,297120,1558930,-24000,1576310,6620,0.9782050437874498,0.021794956
1,World,2775,Aquatic Plants,35897640,569270,634100,35832810,0,35897640,-64830,1,0
1,World,2781,"Fish, Body Oil",1142840,993670,951890,1110630,-74000,1142850,41780,0.9579538478569344,0.042046152
1,World,2782,"Fish, Liver Oil",12510,46310,15190,43430,-200,12510,31120,0.3280069099546534,0.6719930900453466
1,World,2807,Rice and products,755863000,69222000,72175000,769121000,16211000,755863000,-2953000,1,0
1,World,2848,Milk - Excluding Butter,1054428000,116516000,264621000,909855000,3531000,1054429000,-148105000,1,0
1,World,2899,Miscellaneous,-71000,19503000,19747000,150000,465000,-71000,-244000,1,0
2,Africa,2511,Wheat and products,81443000,2265000,57146000,25432000,-1129000,81442000,-54881000,1,0
2,Africa,2513,Barley and products,10093000,96000,4996000,5478000,285000,10093000,-4900000,1,0
2,Africa,2514,Maize and products,109043000,4824000,25643000,93886000,5662000,109043000,-20819000,1,0
2,Africa,2515,Rye and products,84000,12000,2000,97000,2000,85000,10000,0.16666666666666666,0.8333333333333334
2,Africa,2516,Oats,312000,10000,155000,178000,11000,312000,-145000,1,0
2,Africa,2517,Millet and products,13996000,19000,60000,15029000,1073000,13997000,-41000,1,0
2,Africa,2518,Sorghum and products,28182000,177000,611000,27983000,235000,28182000,-434000,1,0
2,Africa,2520,"Cereals, Other",7792000,260000,931000,7494000,373000,7792000,-671000,1,0
2,Africa,2531,Potatoes and products,28175000,1089000,1160000,27861000,-243000,28175000,-71000,1,0
2,Africa,2532,Cassava and products,190359000,140000,506000,192847000,2854000,190359000,-366000,1,0
2,Africa,2533,Sweet potatoes,27642000,90000,12000,28167000,447000,27642000,78000,0.13333333333333333,0.8666666666666667
2,Africa,2534,"Roots, Other",11333000,86000,43000,11407000,31000,11333000,43000,0.5,0.5
2,Africa,2535,Yams,73179000,77000,19000,73018000,-218000,73178000,58000,0.24675324675324675,0.7532467532467533
2,Africa,2536,Sugar cane,96607000,69000,2000,96674000,0,96607000,67000,0.028985507246376812,0.9710144927536232
2,Africa,2537,Sugar beet,14989000,0,0,14010000,-979000,14989000,0,NA,NA
2,Africa,2541,Sugar non-centrifugal,56000,0,1000,55000,0,56000,-1000,NA,NA
